cc_id,Title,allergens,Ingredients,yield_units,cost,cost_per_unit,yield_units,ingredient_list_str,Allergens_str,Categories_str,ID
248520,"All Buttah Pie Dough","1207, 1204",,,,,,,,,653
284278,"Cantaloupe Icecream",1204,,,,,,,,,685
230516,"Coffee Syrup",,,,,,,,,,719
276627,"Granola Parfait Icecream","1207, 1204",,,,,,,,,751
244541,"MMMinty Icecream","4425, 1207, 1204, 1208",,,,,,,,,785
230253,"Pumpkin Cake","4425, 1207, 1204",,,,,,,,,817
242223,"Silky Ganache","1204, 1208",,,,,,,,,849
242297,"V/GF Lime Curd","4423, 1205",,,,,,,,,883
276631,"Vegan Spiced Chocolate Orange Icecream","1208, 1205",,,0.00,0.00,0.00,,,,917
286404,"Hint of Mint Ripple Icecream",1204,,,0.00,0.00,0.00,,,,5486
286406,"Sugar Plum (dairy) Icecream",1204,,,,,,,,,5519
243828,"Birthday Cake Ice Cream","4425, 1207, 1204",,,,,,,,,664
236493,"Chestnut IceCream",1204,,,,,,,,,696
230063,"Dark chocolate cookies","4425, 1207, 1204",,,,,,,,,730
230066,"Lemon meringue pie filling","4425, 1204",,,,,,,,,762
241285,"Orange Salted Chocolate ganache","1204, 1208",,,,,,,,,796
242226,"Rice Krispies pie crust","1204, 1208",,,,,,,,,828
276613,"Sweet Potato Pie Icecream","1207, 1204, 1208",,,,,,,,,860
283948,"Vegan Cherry Icecream",4423,,,,,,,,,896
239644,"White choco covered pretzels","1207, 1204, 1208",,,,,,,,,928
286636,"Mango Icecream",1204,,,,,,,,,5497
228827,"Vanilla Cardamom Molasses Icecream",1204,,,,,,,,,5530
229604,Brownies,"4425, 1207, 1204, 1208",,,,,,,,,675
243768,"Cinnamon Crisp","1207, 1204",,,,,,,,,709
250558,"Everything But The Ice Cream","4423, 1207, 1204, 1208, 1205",,,,,,,,,741
229052,"Malty and Salty Icecream","1207, 1204, 1208",,,,,,,,,773
230513,"Persimmon Curd","4425, 1204",,,,,,,,,807
230240,"Rugelach dough","1207, 1204",,,,,,,,,839
242291,"V/Gf Brownies","4423, 1208",,,,,,,,,873
262466,"Vegan Fudge","4423, 1208",,,,,,,,,907
286411,"Corn Cookies","4428, 4425, 1207, 1204",,,,,,,,,5476
287313,"Pistachio Rose Bark Icecream","1204, 1208, 1205",,,,,,,,,5509
286622,"Vegan Strawberry Rhubarb Icecream",1205,,,,,,,,,5541
242230,"Apple Chaider",,,,,,,,,,654
284280,"Caramel Apple Pie Icecream","4422, 4428, 1207, 1204, 1208",,,,,,,,,686
241286,"Cookie buttah Icecream","4428, 4425, 1207, 1204, 1208",,,,,,,,,720
229129,"Guava+ Sorbet",,,,,,,,,,752
230514,"Mocha Ripple",,,,,,,,,,786
275107,"Pumpkin CheeseCake Icecream","4425, 1207, 1204, 1208",,,,,,,,,818
230225,"Snickerdoodle cookie","4425, 1207, 1204",,,,,,,,,850
283632,"V/gf Peach Melba Icecream","1208, 1205",,,,,,,,,884
237269,"Vegan Strawberry Ice Cream",1205,,,,,,,,,918
287735,"Homemade Marshmallows",,,,,,,,,,5487
286369,"Super Sorbet",,,,,,,,,,5520
229085,"Black Currant Ice Cream",1204,,,,,,,,,665
242224,"Chocolate Buttercream","1204, 1208",,,,,,,,,697
239645,"Dark chocolate covered potato chips",1208,,,,,,,,,731
275111,"Lemon meringue pie Icecream","4425, 1207, 1204, 1208",,,,,,,,,763
