,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/5/2022,,12/13/2022,,12/19/2022,,12/26/2022,
Totals,26027,191,17,273,22,209,21,324,29,274,26,251,19,216,16,230,24,238,24,252,22,459,39,391,33,380,26,298,26,422,33,351,37,777,49,497,36,1019,87,665,52,714,65,719,54,672,49,613,52,825,67,946,77,989,79,940,87,876,56,868,64,807,79,835,78,847,71,763,60,630,64,594,51,490,55,297,26,254,28,408,29,243,18,229,25,139,11,166,12,257,29,182,20,134,11,163,15,136,16,176,18,155,14,202,23
,,1/1/2024,,1/8/2024,,1/15/2024,,1/22/2024,,1/29/2024,,2/5/2024,,2/12/2024,,2/19/2024,,2/26/2024,,3/4/2024,,3/11/2024,,3/18/2024,,3/25/2024,,4/1/2024,,4/8/2024,,4/15/2024,,4/22/2024,,4/29/2024,,5/6/2024,,5/13/2024,,5/20/2024,,5/27/2024,,6/3/2024,,6/10/2024,,6/17/2024,,6/24/2024,,7/1/2024,,7/8/2024,,7/15/2024,,7/22/2024,,7/29/2024,,8/5/2024,,8/12/2024,,8/19/2024,,8/26/2024,,9/2/2024,,9/9/2024,,9/16/2024,,9/23/2024,,9/30/2024,,10/7/2024,,10/14/2024,,10/21/2024,,10/28/2024,,11/4/2024,,11/11/2024,,11/18/2024,,11/25/2024,,12/2/2024,,12/9/2024,,12/16/2024,,12/23/2024,
Monday,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,17,32,4,78,6,31,4,91,7,97,7,107,5,97,4,63,6,45,4,96,2,66,5,61,8,66,5,107,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,,15,0,10,4,9,2,24,3,20,1,13,0,18,4,17,2,10,6,24,1,14,0,82,13,25,3,30,7,33,3,34,5,62,2,30,6,19,1,39,0,15,1,17,6,39,7,36,3,101,11,208,15,107,2,118,18,96,10,89,17,94,6,60,3,89,4,75,7,58,8,67,6,29,2,57,10,56,6,20,5,16,2,14,0,17,4,22,3,14,2,5,1,7,1,20,2,12,4,13,2,17,0,5,2
Wednesday,,14,1,12,0,2,0,15,0,33,4,25,1,39,4,18,1,20,1,32,3,25,4,16,2,20,3,52,3,43,6,42,6,26,4,27,4,78,11,64,9,33,5,34,1,87,9,67,7,184,12,95,5,117,7,117,8,72,11,124,8,106,7,117,10,64,10,85,9,80,12,74,15,32,8,71,3,35,4,34,3,47,4,22,1,28,5,14,0,14,0,13,3,0,0,22,5,14,2,7,2,13,1,0,0
Thursday,,9,1,9,0,9,1,10,2,6,3,19,2,14,0,39,5,24,1,21,4,37,3,37,5,23,0,22,3,49,3,49,3,18,4,63,7,52,4,17,1,42,4,72,4,104,4,99,3,99,6,38,6,83,6,80,11,82,7,120,7,109,9,104,7,94,6,70,2,96,11,47,5,31,5,45,6,48,4,20,0,23,2,18,3,29,4,10,0,18,4,10,1,0,0,0,0,15,5,10,3,19,2,19,0
Friday,,21,1,22,2,36,4,44,8,61,2,51,3,40,2,70,5,51,7,38,8,125,9,60,4,92,8,63,5,125,10,153,17,86,7,89,7,174,21,94,17,75,4,146,12,173,15,126,6,203,19,191,9,243,16,157,15,181,17,203,14,173,13,152,13,143,22,48,10,146,13,167,23,66,9,87,11,77,5,40,7,77,6,47,4,75,8,18,8,59,7,37,4,50,7,35,3,35,8,27,6,32,7,28,3
Saturday ,,50,6,32,1,62,10,51,4,102,17,98,11,78,4,91,10,76,5,105,8,252,25,85,5,103,9,50,11,143,13,165,10,111,9,116,6,283,20,118,5,76,11,164,24,256,13,105,20,144,11,198,17,215,20,187,12,261,26,263,27,217,20,239,24,207,12,77,5,194,9,162,17,71,7,129,17,96,12,78,13,154,12,77,8,53,8,64,1,51,7,43,12,67,6,47,7,50,7,47,3,38,6,56,10
Sunday,,0,0,33,1,37,4,55,8,59,8,31,0,76,7,44,6,58,4,57,8,163,6,84,5,99,10,68,7,161,20,85,8,108,7,50,6,322,30,119,16,59,8,39,2,197,11,210,15,120,11,132,9,172,8,162,8,258,21,134,18,218,22,153,5,152,5,187,15,207,13,75,3,100,8,53,9,79,8,118,9,113,5,72,8,52,4,35,11,54,8,38,4,54,4,45,5,25,6,38,7,41,7,42,4
Totals,26360,109,9,118,8,155,21,199,25,281,35,237,17,265,21,279,29,239,24,277,32,616,47,364,34,362,33,285,36,554,55,528,49,411,33,375,36,928,87,451,48,300,33,591,66,888,63,721,60,882,74,953,68,1034,66,928,77,1047,96,996,97,962,81,921,64,815,64,603,56,847,71,699,78,329,39,442,56,391,39,310,37,430,31,250,24,254,33,163,23,210,28,146,25,178,18,169,22,151,32,142,23,160,23,150,19
,,12/30/2024,,1/6/2025,,1/13/2025,,1/20/2025,,1/27/2025,,2/3/2025,,2/10/2025,,2/17/2025,,2/24/2025,,3/3/2025,,3/10/2025,,3/17/2025,,3/24/2025,,3/31/2025,,4/7/2025,,4/14/2025,,4/21/2025,,4/28/2025,,5/5/2025,,5/12/2025,,5/19/2025,,5/26/2025,,6/2/2025,,6/9/2025,,6/16/2025,,6/23/2025,,6/30/2025,,7/7/2025,,7/14/2025,,7/21/2025,,7/28/2025,,8/4/2025,,8/11/2025,,8/18/2025,,8/25/2025,,9/1/2025,,9/8/2025,,9/15/2025,,9/22/2025,,9/29/2025,,10/6/2025,,10/13/2025,,10/20/2025,,10/27/2025,,11/3/2025,,11/10/2025,,11/17/2025,,11/24/2025,,12/1/2025,,12/8/2025,,12/15/2025,,12/22/2025,
Monday,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,19,91,12,53,18,69,10,75,19,95,13,95,15,70,9,94,19,74,10,84,12,109,17,58,13,62,10,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,,10,2,19,2,24,2,10,0,24,0,29,4,21,2,23,3,18,1,17,6,9,1,25,6,84,16,32,2,32,8,62,10,63,7,33,1,53,2,28,2,27,3,61,8,64,9,76,8,73,5,102,8,99,8,117,16,116,8,88,7,87,3,85,15,111,11,70,5,51,13,82,17,30,3,59,5,50,2,19,4,24,5,19,1,17,3,16,5,24,6,39,6,15,4,18,7,4,1,15,4,9,2,21,0
Wednesday,,0,0,22,8,9,1,17,1,27,2,15,4,18,1,29,4,24,5,25,1,14,2,18,10,51,8,19,1,54,7,50,4,51,8,47,11,54,10,29,4,55,7,83,4,62,10,121,12,111,16,112,12,57,10,56,11,106,4,108,5,87,3,51,6,55,7,88,3,75,11,87,6,41,4,75,8,55,3,26,8,44,8,26,6,57,2,20,2,18,4,36,4,47,1,40,1,13,0,19,1,20,0,14,3
Thursday,,24,4,11,1,13,1,18,3,8,1,13,2,9,3,26,4,24,0,31,5,31,7,24,2,30,8,26,4,43,6,65,10,81,15,66,9,41,9,28,0,53,7,45,10,69,0,64,12,100,10,59,7,90,3,68,7,108,13,85,7,74,8,83,7,65,4,82,9,102,4,43,3,30,2,55,3,16,8,32,2,23,3,50,3,20,4,19,3,23,2,25,4,23,1,0,0,22,0,17,0,11,2,0,0
Friday,,60,3,37,4,51,5,50,7,43,10,32,12,68,7,43,9,57,19,63,11,64,13,66,10,75,15,127,6,140,12,162,12,159,20,136,11,140,12,69,7,152,13,160,22,149,14,102,13,167,11,138,5,110,17,193,8,137,13,117,10,168,17,134,13,73,10,133,21,141,7,93,13,104,8,83,10,90,19,62,8,39,3,48,7,36,5,16,1,66,5,38,2,64,3,23,2,43,7,62,5,45,4,27,8
Saturday ,,41,9,87,19,93,8,74,9,90,11,57,7,54,8,65,11,192,12,82,9,123,10,123,11,110,18,189,16,122,9,145,16,193,33,165,20,209,21,77,9,253,32,113,16,246,22,218,23,104,12,223,24,227,22,221,15,203,17,160,19,165,31,208,25,160,8,146,31,132,15,112,14,173,10,141,28,145,11,104,11,61,19,69,13,60,5,42,5,89,21,82,7,57,8,51,5,63,13,63,6,45,15,55,4
Sunday,,31,6,33,2,44,4,49,4,33,5,24,3,35,3,34,5,63,5,47,2,60,4,61,6,132,16,54,6,143,11,66,8,98,4,138,13,175,29,85,11,154,15,250,16,217,13,275,27,85,17,181,13,167,12,201,14,210,13,155,26,157,12,149,22,114,7,120,16,132,14,114,6,51,6,77,5,101,8,61,4,38,6,40,3,46,1,50,5,67,7,51,1,37,7,41,1,26,2,50,5,38,2,0,0
