ID,Name,Price,Price/unit,Price/unit change,Last Price Update,Supplier,Order Code,Brand,Country of Origin,Category,Lead Time,Case,Pack,Unit,Purchase Amount,Converters,Display Name,Usable Percentage,Allergens,Label Certifications,Is Added Sugar,Notes
507260,Flour,42.49,$1.06/lb,-99.77%,2024-04-03,US Foods Chefstore,,Gold Medal AP Unbleached,"",Food,,4.0,10.0,lb,4/10lb,4.6 oz = 1 cup,"",100,Gluten,"",,""
509388,Food coloring,1.0,$1.00/g,"","","",,"","",Food,,1.0,1.0,g,1/1g,"","",100,Artificial dye,"",false,""
555091,Freeze Dried Strawberry Pieces,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,"","",,""
555090,freeze dried strawberry powder,1.0,$1.00/g,"","","",,"","",Uncategorized,,1.0,1.0,g,1/1g,"","",100,"","",,""
507258,Fruit bracer,16.0,$16.00/lb,0%,2024-10-14,Green Mountain Flavors,,"","",Food,,1.0,1.0,lb,1/1lb,"","",100,"","",false,""
525586,Fruity cereal,1.0,$1.00/lb,"","","",,Kellogg,"",Uncategorized,,1.0,1.0,lb,1/1lb,"","",100,"","",true,""
594063,geletin,1.0,$1.00/g,"","","",,"","",Food,,1.0,1.0,g,1/1g,"","",100,"","",false,""
509393,Ginger,1.0,$1.00/cup,"",2025-09-28,US Foods Chefstore,,"","",Food,,1.0,1.0,cup,1/1cup,3.81 oz = 1 cup,"",100,"","",false,""
531507,Glazed Donuts,1.0,$1.00/dozen,"","",Haggen,,haggen bakery,"",Food,,1.0,1.0,dozen,1/1dozen,"","Glazed Donuts (Enriched Wheat Flour Bleached (flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Water,Dextrose,Soybean Oil,Apples,High Fructose Corn Syrup,Palm Oil,Sugar,Yeast,Contains 2% Or Less: Acidic Calcium Sulfate,Agar,Ascorbic Acid,Calcium Carbonate,Cellulose Gum,Cinnamon,Citric Acid,Defatted Soy Flour,Degermed Yellow Corn Meal,L-cysteine,Eggs,Modified Food Starch,Glycerin,Glyceryl Monooleate,Guar Gum,Hydrogenated Soybean Oil,Baking Soda,Sodium Acid Pyrophosphate,Malic Acid,Maltodextrin,Mono- & Diglycerides,Natural Flavor,Polysorbate 60,Potassium Sorbate (preservative),Benzoic Acid,Sodium Benzoate,Sodium Erythorbate,Sodium Metabisulfite,Salt,Sodium Stearoyl Lactylate,Spices,Spice Extractives,Oleoresin Paprika (color),Wheat Starch,Whey)",100,"Eggs, Gluten, Milk, Wheat, Corn, Soy","",,""
482247,Glucose,39.45,$3.59/lb,-20.93%,2024-03-27,Chef's Warehouse,,ifi,"",Uncategorized,,1.0,11.0,lb,1/11lb,"","",100,"","",true,""
506726,Glucose Powder,42.93,$3.90/lb,-13.96%,2024-03-20,Chef's Warehouse,1000237,IFi,"",Food,,1.0,11.0,lb,1/11lb,"","",100,"","",true,Has Corn
528773,Gluten Free Flour (bobs red mill),1.0,$0.04/lb,"","","",,"","",Uncategorized,,1.0,25.0,lb,1/25lb,"","Bobs Redmill Gluten Free Flour: sweet white rice flour, whole grain brown rice flour, potato starch, whole grain sorghum flour, tapioca flour, xantham gum) heat-treated, brown sugar",100,"",Gluten-Free,true,""
